EID,FID,sex,LAG1EID,LAG1SEX,COUNTLAG1,PERCENT,LAG2EID,COUNTLAG2,LAG3EID,COUNTLAG3,LAG4EID,COUNTLAG4,LAG5EID,COUNTLAG5,LAG6EID,COUNTLAG6,LEAD1EID,LEAD1SEX,COUNTLEAD1,LEAD2EID,COUNTLEAD2,LEAD3EID,COUNTLEAD3,LEAD4EID,COUNTLEAD4,LEAD5EID,COUNTLEAD5,LEAD6EID,COUNTLEAD6,LAG1MOTHER,DamCalfEID,FinalCount,DamCalfSEX
982 123517937476,M571,male,982 123517937474,male,5,22.727272727,,,982 123517937476,4,982 123517937476,4,982 123517937476,3,982 123517937476,4,982 123517937476,male,5,,4,982 123517937471,4,982 123517937471,5,982 123517937471,4,982 123517937471,5,982 123460159422,982 123517937474,5,male
982 123517937474,M573,male,982 123517937509,female,4,,,,982 123517937474,5,982 123517937474,5,982 123517937474,5,,2,982 123517937476,male,5,982 123517937474,5,982 123517937474,5,982 123517937474,5,982 123517937474,5,,3,982 123517937474,982 123517937476,5,male
982 123517937477,M570,female,,female,,18.75,982 123517937477,6,982 123517937501,5,982 123517937501,4,982 123517937501,4,982 123517937501,6,982 123517937477,female,5,982 123517937477,6,982 123517937501,4,982 123517937501,4,982 123517937477,3,982 123517937501,3,,982 123517937477,5,female
982 123517937478,M569,male,,male,,38.888888889,982 000114111526,7,982 000114111526,9,982 000114111526,8,982 000114111526,7,982 000114111526,6,982 123517937478,male,9,982 000114111526,8,982 000114111526,10,982 000114111526,10,982 000114111526,9,982 000114111526,7,,982 123517937478,9,male
982 123517937479,M568,female,,female,,22.222222222,982 123517937534,3,982 000085268462,1,,1,982 123517937498,2,982 123517937534,2,982 123517937479,female,2,982 123517937534,3,,1,982 123517937522,2,982 123517937534,2,982 123517937498,2,,982 123517937479,2,female
982 123517937480,M567,male,,male,,22.222222222,982 123517937498,3,982 123517937498,4,982 123517937480,2,982 123517937498,3,982 123517937498,4,982 123517937480,male,2,982 123517937524,4,982 123517937498,2,982 123517937480,2,982 123517937524,2,982 123517937515,2,,982 123517937480,2,male
982 123517937498,M549,male,,male,,9.5238095238,982 123517937498,9,982 123517937498,7,982 123517937498,5,982 123517937524,5,982 123517937524,7,982 123517937498,male,6,982 123517937498,9,982 123517937498,7,982 123517937498,5,982 123517937498,4,982 123517937480,4,,982 123517937498,6,male
982 123517937499,M548,female,,female,,28.260869565,982 123517937499,45,982 123517937499,42,982 123517937531,44,982 123517937531,49,982 123517937531,46,982 123517937499,female,51,982 123517937499,45,982 123517937499,42,982 123517937531,42,982 123517937531,44,982 123517937499,39,,982 123517937499,51,female
982 123517937501,M546,female,,female,,37.5,982 123517937501,8,982 123517937477,4,982 123517937477,4,982 123517937501,4,982 123517937477,3,982 123517937501,female,5,982 123517937501,8,982 123517937477,5,982 123517937477,4,982 123517937477,4,982 123517937477,6,,982 123517937501,5,female
982 123517937484,M563,male,982 123517937509,female,4,,,3,,,,4,,2,982 000150375874,2,982 123517937512,male,3,982 123517937522,3,982 123517937522,4,,6,,3,,5,982 123517937509,982 123517937509,4,female
982 123517937523,M524,female,,female,,24.025974026,982 123517937523,41,982 123517937523,32,982 123517937523,41,,26,982 123517937523,37,982 123517937523,female,31,982 123517937523,41,982 123517937523,32,982 123517937523,41,982 123517937523,25,982 123517937523,37,,982 123517937523,31,female
982 123517937531,M516,female,,female,,30.357142857,982 123517937531,90,982 123517937531,70,982 123517937531,80,982 123517937531,68,982 123517937531,68,982 123517937531,female,68,982 123517937531,90,982 123517937531,70,982 123517937531,80,982 123517937531,68,982 123517937531,68,,982 123517937531,68,female
982 123517937520,M527,male,982 123517937531,female,33,22.222222222,,,982 123517937520,22,982 123517937520,22,982 123517937520,24,982 123517937520,22,982 123517937531,female,31,982 123517937520,31,982 123517937520,22,982 123517937520,22,982 123517937520,24,982 123517937520,22,982 123517937509,982 123517937531,33,female
982 123517937537,M510,female,,female,,18.461538462,982 123517937537,25,982 123517937537,23,,18,,23,982 123517937537,24,982 123517937537,female,33,982 123517937537,25,982 123517937537,23,982 123517937537,18,,22,982 123517937537,24,,982 123517937537,33,female
982 123733100659,Q073,female,,female,,,982 123733100659,39,982 123733100659,36,982 123733100659,33,982 123733100659,31,,28,982 123733100659,female,41,982 123733100659,39,982 123733100659,36,982 123733100659,33,982 123733100659,31,,33,,982 123733100659,41,female
982 123733100668,Q064,female,,female,,,982 123733100668,20,,21,,23,,21,,22,982 123733100668,female,30,982 123733100668,20,,23,,23,,20,,18,,982 123733100668,30,female
982 123733100700,Q032,female,,female,,,,37,,36,,38,,46,,39,982 123733100700,female,33,,43,,39,,39,,40,,41,,982 123733100700,33,female
982 125002322315,,,982 125002105681,,19,13.186813187,,,,22,982 125002322315,28,,20,,29,982 125002105681,,14,982 125002322315,45,,22,982 125002322315,28,,21,982 125002322315,24,982 123539299215,982 125002105681,19,
982 123460159422,,,982 125002321845,,20,32.653061224,,,,17,982 123460159422,17,,22,982 123460159422,16,982 125002321845,,22,982 123460159422,15,,14,982 123460159422,17,,16,982 123460159422,16,982 125002105681,982 125002321845,22,
982 125002322037,,,982 125002322006,,22,29.207920792,,,,22,982 125002322037,71,,28,982 125002322037,59,982 125002322006,,24,982 125002322037,91,,24,982 125002322037,71,982 000085268425,19,982 125002322037,59,982 125002321845,982 125002322006,24,
982 123539299192,,,982 125002322045,female,2,,982 123517937469,2,,3,,,982 123517937466,2,,2,,male,2,,3,982 123539299220,2,982 123539299175,2,,3,,5,982 125002322006,982 125002322045,2,female
982 125002322203,,,982 125002322191,,54,24.886877828,,,,53,982 125002322203,137,,57,982 125002322203,110,982 125002322191,,59,982 125002322203,196,,51,982 125002322203,137,,62,982 125002322203,110,982 125002322045,982 125002322191,59,
982 125002322191,,,982 125002322203,,59,29.176470588,,,982 125002321965,52,982 125002322191,149,982 125002106113,53,982 125002322191,124,982 125002322203,,54,982 125002322191,198,982 125002322203,53,982 125002322191,149,,52,982 125002322191,124,982 125002322191,982 125002322203,59,
982 125002321813,,,982 125002322273,female,15,14.035087719,,,982 125002322273,10,982 125002321813,18,,8,982 125002321813,16,982 125002322273,female,11,982 125002321813,28,982 125002322273,10,982 125002321813,18,,10,982 125002321813,16,982 125002322203,982 125002322273,15,female
